Title,Company,Location,Link,Date
Information Tech Intern,Arizona Cardinals Football Club,"Tempe, AZ",https://www.linkedin.com/jobs/view/information-tech-intern-at-arizona-cardinals-football-club-3641414882?refId=5QgftBiEiMGhIvIW9O9E2g%3D%3D&trackingId=FMgxOhcnXJlhbKNDakgedQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-05-31
IT Summer Intern,Alma Bank,"Clifton, NJ",https://www.linkedin.com/jobs/view/it-summer-intern-at-alma-bank-3625378780?refId=5QgftBiEiMGhIvIW9O9E2g%3D%3D&trackingId=YSpY8UgEb6LoeK1yu%2FqE%2Bw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-06-28
Data Engineering Internship - Fall 2023 (Paid/Remote),Ballotpedia,"Middleton, WI",https://www.linkedin.com/jobs/view/data-engineering-internship-fall-2023-paid-remote-at-ballotpedia-3637932377?refId=5QgftBiEiMGhIvIW9O9E2g%3D%3D&trackingId=rHdP%2FnvEetIyW03kU1g%2FvQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-06-16
Technology Intern,Eli Lilly and Company,Greater Indianapolis,https://www.linkedin.com/jobs/view/technology-intern-at-eli-lilly-and-company-3656816933?refId=5QgftBiEiMGhIvIW9O9E2g%3D%3D&trackingId=BXUxXR5G1gGjl1FX7kpUsA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-07-06
Software Engineering Internship Program- Summer 2024 (Expression of Interest),"Susquehanna International Group, LLP (SIG)","Bala-Cynwyd, PA",https://www.linkedin.com/jobs/view/software-engineering-internship-program-summer-2024-expression-of-interest-at-susquehanna-international-group-llp-sig-3657629014?refId=5QgftBiEiMGhIvIW9O9E2g%3D%3D&trackingId=N60ezRc8e%2Bz%2BVfhbn1ZuZw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-07-07
Engineering Internship Summer 2023,TTM Technologies,"Stafford, CT",https://www.linkedin.com/jobs/view/engineering-internship-summer-2023-at-ttm-technologies-3614732838?refId=5QgftBiEiMGhIvIW9O9E2g%3D%3D&trackingId=5N7CHMdED534LI3xwnRHnQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-07-05
Vehicle Software Technical Program Manager Internship (Winter/Spring 2024),Tesla,"Palo Alto, CA",https://www.linkedin.com/jobs/view/vehicle-software-technical-program-manager-internship-winter-spring-2024-at-tesla-3657195158?refId=5QgftBiEiMGhIvIW9O9E2g%3D%3D&trackingId=Bmh32pKy04tL2YrXuOZ7MQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-07-08
Vehicle Engineering - Program Management Internship (Spring 2024),Tesla,"Palo Alto, CA",https://www.linkedin.com/jobs/view/vehicle-engineering-program-management-internship-spring-2024-at-tesla-3638050933?refId=5QgftBiEiMGhIvIW9O9E2g%3D%3D&trackingId=iEM9%2FgvDKAaCnzVR%2BWrn3w%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-06-19
UIUC Research Park Intern - Machine Learning,Rivian,"Champaign, IL",https://www.linkedin.com/jobs/view/uiuc-research-park-intern-machine-learning-at-rivian-3645217496?refId=5QgftBiEiMGhIvIW9O9E2g%3D%3D&trackingId=JYufIEpO9LhBa6DbDaGZqg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-06-30
GE Aerospace Research - 2024 Edison Program Internship,GE,"Niskayuna, NY",https://www.linkedin.com/jobs/view/ge-aerospace-research-2024-edison-program-internship-at-ge-3657178718?refId=5QgftBiEiMGhIvIW9O9E2g%3D%3D&trackingId=HCI2eqXJ4fPW9jC9EX8Tng%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-07-07
